key,issue_type,parent_key,project_key,fix_versions,status,sprint,sprint_status,priority,labels,assignee,components,description,summary,acceptance_crieteria,reporter,story_points,requested_by,employment_type
CDF-4,Story,DIS-4,CDF,CDF1-8783,Done,CDF Sprint 9,closed,High,['bugfix'],Alice,UI,Description for Task 8 in CDF,TASK 8 for CDF,Acceptance criteria for issue type Story in CDF with issue key DIS-4-3,umabhargavigadde,1.0,CTB,FTC
CDF-28,Task,DIS-1,CDF,CDF1-8783,Done,CDF Sprint 9,closed,Highest,['frontend'],Bob,Database,Description for Task 177 in CDF,TASK 177 for CDF,Acceptance criteria for issue type Task in CDF with issue key DIS-1-7,umabhargavigadde,1.0,RTB,FTC
CDF-30,Bug,DIS-2,CDF,CDF1-8783,Done,CDF Sprint 9,closed,High,['bugfix'],Rishika,Auth Service,Description for Task 179 in CDF,TASK 179 for CDF,Acceptance criteria for issue type Defect in CDF with issue key DIS-2-10,umabhargavigadde,1.0,CTB,FTE
CDF-35,Story,DIS-3,CDF,CDF1-8784,Done,CDF Sprint 9,closed,High,,Hari,UI,Description for Task 206 in CDF,TASK 206 for CDF,Acceptance criteria for issue type Story in CDF with issue key DIS-3-7,umabhargavigadde,3.0,RTB,FTE
CDF-37,Bug,DIS-2,CDF,CDF1-8786,Done,CDF Sprint 9,closed,Highest,['backend'],Apoorva,API,Description for Task 216 in CDF,TASK 216 for CDF,Acceptance criteria for issue type Defect in CDF with issue key DIS-2-14,umabhargavigadde,1.0,CTB,FTE
CDF-48,Bug,DIS-1,CDF,CDF1-8786,Done,CDF Sprint 9,closed,Medium,['bugfix'],Alice,API,Description for Task 298 in CDF,TASK 298 for CDF,Acceptance criteria for issue type Defect in CDF with issue key DIS-1-10,umabhargavigadde,1.0,RTB,FTC
CDF-56,Story,DIS-4,CDF,CDF1-8783,Done,CDF Sprint 9,closed,High,['backend'],Alice,API,Description for Task 322 in CDF,TASK 322 for CDF,Acceptance criteria for issue type Story in CDF with issue key DIS-4-12,umabhargavigadde,1.0,CTB,FTC
CDF-86,Bug,DIS-3,CDF,CDF1-8783,Done,CDF Sprint 9,closed,Medium,['frontend'],Bob,,Description for Task 474 in CDF,TASK 474 for CDF,Acceptance criteria for issue type Defect in CDF with issue key DIS-3-101,umabhargavigadde,1.0,RTB,FTC
CDF-93,Story,DIS-4,CDF,CDF1-8784,Done,CDF Sprint 9,closed,High,['enhancement'],Bob,Auth Service,Description for Task 522 in CDF,TASK 522 for CDF,Acceptance criteria for issue type Story in CDF with issue key DIS-4-104,umabhargavigadde,1.0,CTB,FTC
CDF-110,Task,DIS-2,CDF,CDF1-8783,Done,CDF Sprint 9,closed,Highest,,Rishika,,Description for Task 610 in CDF,TASK 610 for CDF,Acceptance criteria for issue type Task in CDF with issue key DIS-2-114,umabhargavigadde,1.0,CTB,FTE
CDF-111,Story,DIS-3,CDF,CDF1-8783,Done,CDF Sprint 9,closed,Low,['backend'],Alice,Payment Service,Description for Task 613 in CDF,TASK 613 for CDF,Acceptance criteria for issue type Story in CDF with issue key DIS-3-106,umabhargavigadde,5.0,RTB,FTC
CDF-112,Task,DIS-4,CDF,CDF1-8786,Done,CDF Sprint 9,closed,Highest,['UI'],Hari,Database,Description for Task 621 in CDF,TASK 621 for CDF,Acceptance criteria for issue type Task in CDF with issue key DIS-4-112,umabhargavigadde,1.0,CTB,FTE
CDF-114,Bug,DIS-1,CDF,CDF1-8783,Done,CDF Sprint 9,closed,Low,['UI'],Bob,,Description for Task 624 in CDF,TASK 624 for CDF,Acceptance criteria for issue type Defect in CDF with issue key DIS-1-104,umabhargavigadde,1.0,RTB,FTC
CDF-118,Bug,DIS-1,CDF,CDF1-8784,Done,CDF Sprint 9,closed,Medium,['UI'],Rishika,,Description for Task 642 in CDF,TASK 642 for CDF,Acceptance criteria for issue type Defect in CDF with issue key DIS-1-106,umabhargavigadde,1.0,RTB,FTE
CDF-128,Story,DIS-2,CDF,CDF1-8785,Done,CDF Sprint 9,closed,Medium,,Apoorva,Database,Description for Task 681 in CDF,TASK 681 for CDF,Acceptance criteria for issue type Story in CDF with issue key DIS-2-122,umabhargavigadde,2.0,CTB,FTE
CDF-130,Task,DIS-2,CDF,CDF1-8783,Done,CDF Sprint 9,closed,High,,Alice,UI,Description for Task 691 in CDF,TASK 691 for CDF,Acceptance criteria for issue type Task in CDF with issue key DIS-2-123,umabhargavigadde,1.0,CTB,FTC
CDF-135,Bug,DIS-4,CDF,CDF1-8786,Done,CDF Sprint 9,closed,Low,['frontend'],Bob,,Description for Task 727 in CDF,TASK 727 for CDF,Acceptance criteria for issue type Defect in CDF with issue key DIS-4-117,umabhargavigadde,1.0,CTB,FTC
