key,issue_type,parent_key,project_key,fix_versions,status,sprint,sprint_status,priority,labels,assignee,components,description,summary,acceptance_crieteria,reporter,story_points,requested_by,employment_type,acceptance_result,acceptance_improvement
CDF-6,Bug,DIS-2,CDF,CDF1-8783,To Do,CDF Sprint 10,active,Low,['frontend'],Alice,,Description for Task 15 in CDF,TASK 15 for CDF,,umabhargavigadde,1.0,CTB,FTC,,
CDF-16,Bug,DIS-3,CDF,CDF1-8785,To Do,CDF Sprint 10,active,Highest,['bugfix'],Bob,UI,Description for Task 86 in CDF,TASK 86 for CDF,Acceptance criteria for issue type Defect in CDF with issue key DIS-3-3,umabhargavigadde,1.0,RTB,FTC,Not Well Documented,"{'strengths': [], 'improvement_areas': ['The acceptance criteria are missing.', 'The acceptance criteria are not in Given/When/Then format.', 'There is no information about the expected behavior or outcome.'], 'revised_version': 'Given a defect with issue key DIS-3-3 exists in CDF,\nWhen a user encounters the defect,\nThen the system should [describe expected behavior and resolution of the defect, including specific outcomes and validation steps]. For example:\nThen the system should display an error message clearly explaining the issue.\nAnd the system should log the error for debugging purposes.\nAnd the user should be able to continue their work after acknowledging the error.'}"
CDF-21,Story,DIS-2,CDF,CDF1-8783,To Do,CDF Sprint 10,active,Low,,Hari,,Description for Task 122 in CDF,TASK 122 for CDF,Acceptance criteria for issue type Story in CDF with issue key DIS-2-6,umabhargavigadde,1.0,CTB,FTE,Not Well Documented,"{'strengths': [], 'improvement_areas': ['The acceptance criteria are missing and not provided in the prompt.', 'Acceptance Criteria need to be in Given/When/Then format.', 'Acceptance criteria should be clear, concise, and easily understandable by both technical and non-technical stakeholders.', 'The acceptance criteria should be testable and verifiable.', 'The scope and boundaries of the acceptance criteria should be defined clearly.'], 'revised_version': 'Since the acceptance criteria are missing, I cannot provide a revised version. A proper acceptance criteria should follow the Given/When/Then format and cover all the necessary scenarios. Example: Given I am a user with valid credentials, When I log in to the system, Then I should be redirected to the dashboard.'}"
CDF-23,Task,DIS-4,CDF,CDF1-8784,To Do,CDF Sprint 10,active,Highest,,Rishika,Payment Service,Description for Task 150 in CDF,TASK 150 for CDF,Acceptance criteria for issue type Task in CDF with issue key DIS-4-5,umabhargavigadde,1.0,CTB,FTE,Not Well Documented,"{'strengths': [], 'improvement_areas': ['The acceptance criteria are not provided in Given/When/Then format.', 'The acceptance criteria is missing entirely.'], 'revised_version': 'Given the user is on the CDF platform\nWhen the user attempts to view the task with issue key DIS-4-5\nThen the task details should be displayed correctly and be understandable by non-technical users.'}"
CDF-33,Task,DIS-2,CDF,CDF1-8786,To Do,CDF Sprint 10,active,High,['frontend'],Apoorva,,Description for Task 203 in CDF,TASK 203 for CDF,Acceptance criteria for issue type Task in CDF with issue key DIS-2-12,umabhargavigadde,2.0,CTB,FTE,Not Well Documented,"{'strengths': [], 'improvement_areas': ['The acceptance criteria are not provided in the Given/When/Then format.', 'The acceptance criteria themselves are missing, making it impossible to evaluate their clarity, completeness, and accessibility.'], 'revised_version': 'Given [a specific context or precondition],\nWhen [a specific action is taken],\nThen [a specific outcome or result should occur].'}"
CDF-46,Task,DIS-3,CDF,CDF1-8784,To Do,CDF Sprint 10,active,Low,['backend'],Alice,Payment Service,Description for Task 279 in CDF,TASK 279 for CDF,Acceptance criteria for issue type Task in CDF with issue key DIS-3-10,umabhargavigadde,1.0,RTB,FTC,Not Well Documented,"{'strengths': [], 'improvement_areas': ['The acceptance criteria are not provided in Given/When/Then format.', 'The current acceptance criteria is missing and needs to be properly documented for better understanding.'], 'revised_version': 'As there are no acceptance criteria provided, I am unable to provide a revised version. Please provide the acceptance criteria to get a revised version in Given/When/Then format.'}"
CDF-49,Story,DIS-4,CDF,CDF1-8786,To Do,CDF Sprint 10,active,High,['bugfix'],Bob,API,Description for Task 301 in CDF,TASK 301 for CDF,Acceptance criteria for issue type Story in CDF with issue key DIS-4-11,umabhargavigadde,1.0,CTB,FTC,Not Well Documented,"{'strengths': [], 'improvement_areas': ['The acceptance criteria are not provided in the Given/When/Then format.', 'The acceptance criteria are missing context and specific actions.', 'The acceptance criteria are not clear and understandable for non-technical users.'], 'revised_version': 'Since the original acceptance criteria are missing, I cannot provide a revised version. Please provide the original acceptance criteria.'}"
CDF-53,Task,DIS-1,CDF,CDF1-8784,To Do,CDF Sprint 10,active,Highest,['bugfix'],Rishika,Database,Description for Task 317 in CDF,TASK 317 for CDF,Acceptance criteria for issue type Task in CDF with issue key DIS-1-11,umabhargavigadde,1.0,RTB,FTE,Not Well Documented,"{'strengths': [], 'improvement_areas': [""The acceptance criteria are missing entirely. There's no Given/When/Then structure or any other form of documented criteria."", 'Need to define specific scenarios and expected outcomes.', 'The acceptance criteria should be understandable by non-technical users.'], 'revised_version': 'Given a specific initial state or context,\nWhen a particular action or event occurs,\nThen the expected outcome or result should be observed.'}"
CDF-78,Bug,DIS-2,CDF,,To Do,CDF Sprint 10,active,Medium,,Hari,,Description for Task 430 in CDF,TASK 430 for CDF,Acceptance criteria for issue type Defect in CDF with issue key DIS-2-101,umabhargavigadde,1.0,CTB,FTE,Not Well Documented,"{'strengths': [], 'improvement_areas': ['Missing Given/When/Then format', 'Lack of specific details', 'Unclear context'], 'revised_version': 'Given the user is logged into the CDF system and attempts to perform [specific action that triggers the defect],\nWhen [specific condition related to the defect occurs],\nThen the system should [expected correct behavior] instead of [current incorrect behavior].'}"
CDF-79,Task,DIS-2,CDF,CDF1-8783,To Do,CDF Sprint 10,active,High,['frontend'],Alice,Payment Service,Description for Task 431 in CDF,TASK 431 for CDF,Acceptance criteria for issue type Task in CDF with issue key DIS-2-102,umabhargavigadde,1.0,CTB,FTC,Not Well Documented,"{'strengths': [], 'improvement_areas': ['Missing Given/When/Then format', 'Lack of specific details', 'Unclear steps and expected outcomes'], 'revised_version': 'As the provided acceptance criteria is missing, it is not possible to provide a revised version. Please provide the original acceptance criteria.'}"
