key,board,summary,description,acceptance_criteria,status,assignee,reporter,priority,issue_type,created,closed,labels,components,sprint,sprint_state,sprint_start_date,sprint_end_date,story_points,epic_id,employee_type,requested_by,fix_versions
APS-2-1,APS1,TASK 1 for APS1,Description for Task 1 in APS1,Acceptance criteria for issue type Story in APS1 with issue key APS-2-1,Done,Khaleel,Madhu,Low,Story,2025-03-28,2025-04-07,['backend'],[],Sprint 7,Completed,2025-03-26,2025-04-08,5,APS-2,FTC,RTB,APS1-8784
DIS-1-1,CDF,TASK 2 for CDF,Description for Task 2 in CDF,Acceptance criteria for issue type Defect in CDF with issue key DIS-1-1,Done,Rishika,Naruto,Critical,Defect,2025-03-18,2025-03-15,['enhancement'],[],Sprint 6,Completed,2025-03-12,2025-03-25,3,DIS-1,FTE,RTB,CDF1-8786
TES-1-1,TES1,TASK 3 for TES1,Description for Task 3 in TES1,Acceptance criteria for issue type Defect in TES1 with issue key TES-1-1,Done,David,Shubman,Critical,Defect,2025-03-25,2025-02-09,['enhancement'],['API'],Sprint 3,Completed,2025-01-28,2025-02-10,5,TES-1,FTC,CTB,TES1-8785
TES-1-2,TES1,TASK 4 for TES1,Description for Task 4 in TES1,Acceptance criteria for issue type Defect in TES1 with issue key TES-1-2,To Do,Krithika,Shubman,Low,Defect,2025-04-03,,['bugfix'],['Payment Service'],Sprint 9,Future,2025-04-23,2025-05-06,3,TES-1,FTE,CTB,TES1-8783
APS-2-2,APS1,TASK 5 for APS1,Description for Task 5 in APS1,Acceptance criteria for issue type Defect in APS1 with issue key APS-2-2,In Progress,Noor,Shreya,Medium,Defect,2025-04-04,,['backend'],['UI'],Sprint 8,Active,2025-04-09,2025-04-22,3,APS-2,FTE,RTB,APS1-8786
APS-3-1,APS2,TASK 6 for APS2,Description for Task 6 in APS2,Acceptance criteria for issue type Task in APS2 with issue key APS-3-1,Done,Ashwin,Ravi,Medium,Task,2025-03-31,2025-01-16,['enhancement'],[],Sprint 2,Completed,2025-01-14,2025-01-27,2,APS-3,FTC,RTB,APS2-8784
APS-2-3,APS1,TASK 7 for APS1,Description for Task 7 in APS1,Acceptance criteria for issue type Story in APS1 with issue key APS-2-3,To Do,Noor,Shreya,Critical,Story,2025-04-07,,['bugfix'],['Database'],Sprint 8,Active,2025-04-09,2025-04-22,5,APS-2,FTE,RTB,APS1-8786
DIS-6-1,EBSNF,TASK 8 for EBSNF,Description for Task 8 in EBSNF,Acceptance criteria for issue type Defect in EBSNF with issue key DIS-6-1,To Do,Pavithra,Hinata,High,Defect,2025-03-27,,['frontend'],['API'],Sprint 10,Future,2025-05-07,2025-05-20,5,DIS-6,FTE,CTB,EBSNF1-8786
DIS-7-1,EBSNF,TASK 9 for EBSNF,Description for Task 9 in EBSNF,Acceptance criteria for issue type Defect in EBSNF with issue key DIS-7-1,Done,Peter,Hinata,High,Defect,2025-03-22,2025-02-09,['enhancement'],['API'],Sprint 3,Completed,2025-01-28,2025-02-10,5,DIS-7,FTC,RTB,EBSNF1-8784
TES-1-3,TES1,TASK 10 for TES1,Description for Task 10 in TES1,Acceptance criteria for issue type Defect in TES1 with issue key TES-1-3,Done,Krithika,Shubman,High,Defect,2025-04-08,2025-01-29,['enhancement'],['Database'],Sprint 3,Completed,2025-01-28,2025-02-10,2,TES-1,FTE,CTB,TES1-8785
TES-3-1,TES2,TASK 11 for TES2,Description for Task 11 in TES2,Acceptance criteria for issue type Story in TES2 with issue key TES-3-1,In Progress,Rachin,Pradeep,Low,Story,2025-03-19,,[],['Payment Service'],Sprint 8,Active,2025-04-09,2025-04-22,5,TES-3,FTC,RTB,TES2-8785
DIS-3-1,CDF,TASK 12 for CDF,Description for Task 12 in CDF,Acceptance criteria for issue type Story in CDF with issue key DIS-3-1,In Progress,Alice,Naruto,Medium,Story,2025-04-03,,['bugfix'],['Auth Service'],Sprint 8,Active,2025-04-09,2025-04-22,2,DIS-3,FTC,RTB,CDF1-8786
APS-2-4,APS1,TASK 13 for APS1,Description for Task 13 in APS1,Acceptance criteria for issue type Story in APS1 with issue key APS-2-4,Done,Nitish,Shreya,Medium,Story,2025-04-02,2025-04-04,['backend'],['UI'],Sprint 7,Completed,2025-03-26,2025-04-08,2,APS-2,FTE,RTB,APS1-8785
DIS-7-2,EBSNF,TASK 14 for EBSNF,Description for Task 14 in EBSNF,Acceptance criteria for issue type Task in EBSNF with issue key DIS-7-2,Done,David,Hinata,High,Task,2025-03-24,2025-03-27,['frontend'],['UI'],Sprint 7,Completed,2025-03-26,2025-04-08,1,DIS-7,FTC,RTB,EBSNF1-8785
TES-1-4,TES1,TASK 15 for TES1,Description for Task 15 in TES1,Acceptance criteria for issue type Task in TES1 with issue key TES-1-4,Done,David,Shubman,Critical,Task,2025-03-29,2025-03-28,[],['UI'],Sprint 7,Completed,2025-03-26,2025-04-08,3,TES-1,FTC,CTB,TES1-8783
DIS-4-1,CDF,TASK 16 for CDF,Description for Task 16 in CDF,Acceptance criteria for issue type Task in CDF with issue key DIS-4-1,Done,Apoorva,Tony,High,Task,2025-03-20,2025-03-05,['bugfix'],['UI'],Sprint 5,Completed,2025-02-25,2025-03-11,2,DIS-4,FTE,CTB,CDF1-8786
APS-2-5,APS1,TASK 17 for APS1,Description for Task 17 in APS1,Acceptance criteria for issue type Defect in APS1 with issue key APS-2-5,Done,Khaleel,Madhu,Medium,Defect,2025-04-03,2025-02-15,['enhancement'],['Payment Service'],Sprint 4,Completed,2025-02-11,2025-02-24,2,APS-2,FTC,RTB,APS1-8783
APS-2-6,APS1,TASK 18 for APS1,Description for Task 18 in APS1,Acceptance criteria for issue type Story in APS1 with issue key APS-2-6,Done,Nitish,Madhu,Critical,Story,2025-03-29,2025-03-09,[],['Auth Service'],Sprint 5,Completed,2025-02-25,2025-03-11,5,APS-2,FTE,RTB,APS1-8785
TES-4-1,TES2,TASK 19 for TES2,Description for Task 19 in TES2,Acceptance criteria for issue type Defect in TES2 with issue key TES-4-1,To Do,Rachin,Pradeep,Medium,Defect,2025-04-04,,['enhancement'],['Database'],Sprint 9,Future,2025-04-23,2025-05-06,1,TES-4,FTC,CTB,TES2-8786
APS-3-2,APS2,TASK 20 for APS2,Description for Task 20 in APS2,Acceptance criteria for issue type Task in APS2 with issue key APS-3-2,To Do,Ashwin,Ravi,Low,Task,2025-03-31,,['backend'],[],Sprint 9,Future,2025-04-23,2025-05-06,3,APS-3,FTC,RTB,APS2-8784
TES-3-2,TES2,TASK 21 for TES2,Description for Task 21 in TES2,Acceptance criteria for issue type Defect in TES2 with issue key TES-3-2,Done,Rasheed,Pradeep,Medium,Defect,2025-04-07,2025-02-22,['UI'],['Database'],Sprint 4,Completed,2025-02-11,2025-02-24,1,TES-3,FTE,RTB,TES2-8785
